mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,mp,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,bpm,basic_max_max,advanced_max_max,team,total,home,index_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,gmsc_opp,+/-_opp,mp_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,bpm_opp,basic_max_max_opp,advanced_max_max_opp,team_opp,total_opp,home_opp,season,date,game_id,won
240.0,44.0,83.0,0.53,8.0,26.0,0.308,18.0,20.0,0.9,13.0,25.0,38.0,29.0,7.0,5.0,12.0,21.0,114.0,,,240.0,0.621,0.578,0.313,0.241,34.2,73.5,52.8,65.9,7.8,11.4,11.6,100.0,127.5,125.2,,240.0,240.0,DEN,114,0,1,240.0,38.0,77.0,0.494,13.0,33.0,0.394,23.0,28.0,0.821,9.0,25.0,34.0,24.0,7.0,2.0,13.0,23.0,112.0,,,240.0,0.627,0.578,0.429,0.364,26.5,65.8,47.2,63.2,7.8,3.5,12.7,100.0,125.2,127.5,,240.0,240.0,CHO,112,1,2020,20200305,2020-03-05,True
240.0,38.0,77.0,0.494,13.0,33.0,0.394,23.0,28.0,0.821,9.0,25.0,34.0,24.0,7.0,2.0,13.0,23.0,112.0,,,240.0,0.627,0.578,0.429,0.364,26.5,65.8,47.2,63.2,7.8,3.5,12.7,100.0,125.2,127.5,,240.0,240.0,CHO,112,1,0,240.0,44.0,83.0,0.53,8.0,26.0,0.308,18.0,20.0,0.9,13.0,25.0,38.0,29.0,7.0,5.0,12.0,21.0,114.0,,,240.0,0.621,0.578,0.313,0.241,34.2,73.5,52.8,65.9,7.8,11.4,11.6,100.0,127.5,125.2,,240.0,240.0,DEN,114,0,2020,20200305,2020-03-05,False
240.0,34.0,86.0,0.395,17.0,44.0,0.386,15.0,19.0,0.789,8.0,33.0,41.0,23.0,4.0,5.0,12.0,21.0,100.0,,,240.0,0.53,0.494,0.512,0.221,17.0,84.6,47.7,67.6,4.2,12.5,11.3,100.0,105.8,98.4,,240.0,240.0,TOR,100,0,1,240.0,33.0,75.0,0.44,7.0,35.0,0.2,20.0,27.0,0.741,6.0,39.0,45.0,18.0,6.0,2.0,14.0,20.0,93.0,,,240.0,0.535,0.487,0.467,0.36,15.4,83.0,52.3,54.5,6.3,4.8,13.9,100.0,98.4,105.8,,240.0,240.0,BOS,93,1,2020,20200905,2020-09-05,True
240.0,33.0,75.0,0.44,7.0,35.0,0.2,20.0,27.0,0.741,6.0,39.0,45.0,18.0,6.0,2.0,14.0,20.0,93.0,,,240.0,0.535,0.487,0.467,0.36,15.4,83.0,52.3,54.5,6.3,4.8,13.9,100.0,98.4,105.8,,240.0,240.0,BOS,93,1,0,240.0,34.0,86.0,0.395,17.0,44.0,0.386,15.0,19.0,0.789,8.0,33.0,41.0,23.0,4.0,5.0,12.0,21.0,100.0,,,240.0,0.53,0.494,0.512,0.221,17.0,84.6,47.7,67.6,4.2,12.5,11.3,100.0,105.8,98.4,,240.0,240.0,TOR,100,0,2020,20200905,2020-09-05,False
240.0,38.0,84.0,0.452,11.0,36.0,0.306,22.0,26.0,0.846,6.0,35.0,41.0,19.0,7.0,1.0,9.0,22.0,109.0,,,240.0,0.571,0.518,0.429,0.31,14.6,81.4,48.8,50.0,7.3,1.9,8.6,100.0,114.0,98.3,,240.0,240.0,LAC,109,0,1,240.0,34.0,81.0,0.42,9.0,28.0,0.321,17.0,26.0,0.654,8.0,35.0,43.0,16.0,7.0,7.0,13.0,22.0,94.0,,,240.0,0.508,0.475,0.346,0.321,18.6,85.4,51.2,47.1,7.3,14.6,12.3,100.0,98.3,114.0,,240.0,240.0,OKC,94,1,2020,20200303,2020-03-03,True
240.0,34.0,81.0,0.42,9.0,28.0,0.321,17.0,26.0,0.654,8.0,35.0,43.0,16.0,7.0,7.0,13.0,22.0,94.0,,,240.0,0.508,0.475,0.346,0.321,18.6,85.4,51.2,47.1,7.3,14.6,12.3,100.0,98.3,114.0,,240.0,240.0,OKC,94,1,0,240.0,38.0,84.0,0.452,11.0,36.0,0.306,22.0,26.0,0.846,6.0,35.0,41.0,19.0,7.0,1.0,9.0,22.0,109.0,,,240.0,0.571,0.518,0.429,0.31,14.6,81.4,48.8,50.0,7.3,1.9,8.6,100.0,114.0,98.3,,240.0,240.0,LAC,109,0,2020,20200303,2020-03-03,False
240.0,40.0,103.0,0.388,11.0,35.0,0.314,13.0,21.0,0.619,18.0,30.0,48.0,27.0,8.0,4.0,10.0,29.0,104.0,,,240.0,0.463,0.442,0.34,0.204,31.0,81.1,50.5,67.5,7.9,8.0,8.2,100.0,103.3,124.1,,240.0,240.0,WAS,104,0,1,240.0,42.0,81.0,0.519,13.0,31.0,0.419,28.0,32.0,0.875,7.0,40.0,47.0,24.0,7.0,11.0,15.0,24.0,125.0,,,240.0,0.657,0.599,0.383,0.395,18.9,69.0,49.5,57.1,7.0,16.2,13.6,100.0,124.1,103.3,,240.0,240.0,POR,125,1,2020,20200304,2020-03-04,False
240.0,42.0,81.0,0.519,13.0,31.0,0.419,28.0,32.0,0.875,7.0,40.0,47.0,24.0,7.0,11.0,15.0,24.0,125.0,,,240.0,0.657,0.599,0.383,0.395,18.9,69.0,49.5,57.1,7.0,16.2,13.6,100.0,124.1,103.3,,240.0,240.0,POR,125,1,0,240.0,40.0,103.0,0.388,11.0,35.0,0.314,13.0,21.0,0.619,18.0,30.0,48.0,27.0,8.0,4.0,10.0,29.0,104.0,,,240.0,0.463,0.442,0.34,0.204,31.0,81.1,50.5,67.5,7.9,8.0,8.2,100.0,103.3,124.1,,240.0,240.0,WAS,104,0,2020,20200304,2020-03-04,True
240.0,39.0,82.0,0.476,14.0,40.0,0.35,17.0,21.0,0.81,12.0,34.0,46.0,28.0,3.0,5.0,19.0,24.0,109.0,,,240.0,0.597,0.561,0.488,0.256,28.6,77.3,53.5,71.8,3.1,9.3,17.2,100.0,112.7,115.8,,240.0,240.0,BOS,109,0,1,240.0,39.0,91.0,0.429,10.0,37.0,0.27,24.0,27.0,0.889,10.0,30.0,40.0,20.0,9.0,2.0,8.0,20.0,112.0,,,240.0,0.544,0.484,0.407,0.297,22.7,71.4,46.5,51.3,9.3,4.8,7.2,100.0,115.8,112.7,,240.0,240.0,MIA,112,1,2020,20200923,2020-09-23,False
240.0,39.0,91.0,0.429,10.0,37.0,0.27,24.0,27.0,0.889,10.0,30.0,40.0,20.0,9.0,2.0,8.0,20.0,112.0,,,240.0,0.544,0.484,0.407,0.297,22.7,71.4,46.5,51.3,9.3,4.8,7.2,100.0,115.8,112.7,,240.0,240.0,MIA,112,1,0,240.0,39.0,82.0,0.476,14.0,40.0,0.35,17.0,21.0,0.81,12.0,34.0,46.0,28.0,3.0,5.0,19.0,24.0,109.0,,,240.0,0.597,0.561,0.488,0.256,28.6,77.3,53.5,71.8,3.1,9.3,17.2,100.0,112.7,115.8,,240.0,240.0,BOS,109,0,2020,20200923,2020-09-23,True
